ORCID,full_name,given_name,family_name,credit_name,status_code,error
0000-0001-5541-3150,Dávid Guszejnov,Dávid,Guszejnov,,200,
0000-0001-5545-3240,Marc Dorpema,Marc,Dorpema,,200,
0000-0001-5546-0360,Bruce Ksander,Bruce,Ksander,,200,
0000-0001-5547-106X,Viral Shah,Viral,Shah,,200,
0000-0001-5552-1450,Junyi Cheng,Junyi,Cheng,,200,
0000-0001-5555-3217,Will Xiao,Will,Xiao,,200,
0000-0001-5557-7753,Keishiro Sueda,Keishiro,Sueda,,200,
0000-0001-5558-4830,Leslie Lehmann,Leslie,Lehmann,,200,
0000-0001-5559-6428,M Ganesh Kumar,M Ganesh,Kumar,,200,
0000-0001-5560-7035,Jerrold Rosenbaum,Jerrold,Rosenbaum,,200,
0000-0001-5561-8412,Terence C Cheng,Terence C,Cheng,,200,
0000-0001-5561-9095,Henrique Castro-Pires,Henrique,Castro-Pires,,200,
0000-0001-5562-9875,Christine Yeh,Christine,Yeh,,200,
0000-0001-5563-5829,Michelle L. Walsh,Michelle,Walsh,Michelle L. Walsh,200,
0000-0001-5564-1698,Zintis Inde,Zintis,Inde,,200,
0000-0001-5564-2762,Steve Allen,Steve,Allen,,200,
0000-0001-5564-8064,Giuseppe Di Caprio,Giuseppe,Di Caprio,,200,
0000-0001-5568-4444,"Mark A Clapp, MD MPH",Mark,Clapp,"Mark A Clapp, MD MPH",200,
0000-0001-5570-7220,Tomoya Duenki,Tomoya,Duenki,,200,
0000-0001-5571-4121,LILLIANA VILLA,LILLIANA,VILLA,,200,
0000-0001-5571-5220,Sk Md Omar Faruk,Sk Md Omar Faruk,,,200,
0000-0001-5574-9586,Maroof Alam,Maroof,Alam,,200,
0000-0001-5576-9608,Calvin Howard,Calvin,Howard,,200,
0000-0001-5580-0986,Stefano Casola,Stefano,Casola,,200,
0000-0001-5581-160X,Matthew H. Hersch,Matthew Howard,Hersch,Matthew H. Hersch,200,
0000-0001-5585-9056,Anna Stagner,Anna,Stagner,,200,
0000-0001-5586-8390,Ilja T. Feldstein,Ilja,Feldstein,Ilja T. Feldstein,200,
0000-0001-5587-2146,Xiaoli Sky Wu,Xiaoli,Wu,Xiaoli Sky Wu,200,
0000-0001-5587-7852,Alexandra Lahav,Alexandra,Lahav,,200,
0000-0001-5588-7591,SAIMA NOMAAN,SAIMA,NOMAAN,,200,
0000-0001-5589-2024,Yiran Cheng,Yiran,Cheng,,200,
0000-0001-5590-0549,Jinkee Lee,Jinkee,Lee,,200,
0000-0001-5590-1170,Virly Y. Ananda,Virly,Ananda,Virly Y. Ananda,200,
0000-0001-5592-476X,Mohammad Mehdi Shahjamali,Mohammad Mehdi,Shahjamali,,200,
0000-0001-5592-6909,Mary Brinton,Mary,Brinton,,200,
0000-0001-5593-4853,Nikitas Hatzimihail,Nikitas,Hatzimihail,,200,
0000-0001-5595-8011,Isabella Maiellaro,Isabella,Maiellaro,,200,
0000-0001-5598-3751,Abigail Sloan Devlin,Abigail Sloan,Devlin,,200,
0000-0001-5601-1065,Cristian Camilo Chica Castaño,Cristian Camilo,Chica Castaño,,200,
0000-0001-5601-9112,carlee moser,carlee,moser,,200,
0000-0001-5602-6793,Richard L Verrier,Richard L,Verrier,,200,
0000-0001-5603-6959,Dina Hirshfeld-Becker,Dina,Hirshfeld-Becker,,200,
0000-0001-5604-0704,Andrew McMurry,Andrew,McMurry,,200,
0000-0001-5605-0283,Charles Fidler,Charles,Fidler,Charles Fidler,200,
0000-0001-5605-1198,Roxana Shafiee,Roxana,Shafiee,,200,
0000-0001-5608-0589,Sara Ramadan,Sara,Ramadan,,200,
0000-0001-5610-1159,Yingzhe Zhang,Yingzhe,Zhang,,200,
0000-0001-5612-8140,Alessio Caruso,Alessio,Caruso,,200,
0000-0001-5613-7100,Nuno R. G. Carvalho,Nuno,Ramos Grangeia Carvalho,Nuno R. G. Carvalho,200,
0000-0001-5614-4239,Dimitris Loupis,Dimitris,Loupis,,200,
0000-0001-5615-4541,Daniel Kapec,Daniel,Kapec,,200,
0000-0001-5618-1849,Ralph J. Buonopane,Ralph,Buonopane,Ralph J. Buonopane,200,
0000-0001-5619-5175,Anna Yuan,Anna,Yuan,,200,
0000-0001-5622-4212,Pedro de Alarcon,Pedro,de Alarcon,,200,
0000-0001-5622-9128,Anvita Bhardwaj,Anvita,Bhardwaj,,200,
0000-0001-5625-6409,Yangfan Zhang,Yangfan,Zhang,,200,
0000-0001-5626-0790,Ming Guan,Ming,Guan,,200,
0000-0001-5627-0593,Zaneta Matuszek,Zaneta,Matuszek,,200,
0000-0001-5627-7146,Eugene Beresin,Eugene,Beresin,,200,
